"Source:","/Users/adrian/git/ESP32-Generic/KiCad/Generic.kicad_sch"
"Date:","Sunday, 20 February 2022 at 12:22:56"
"Tool:","Eeschema (6.0.2-0)"
"Generator:","/Applications/KiCad/KiCad.app/Contents/SharedSupport/plugins/bom_csv_grouped_by_value.py"
"Component Count:","31"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Manufacturer","Note","Notes","Order URL","Part No"
"","","C2","100nF","Device:C","RevK:C_0603","~","","","","",""
"","","C3","47pF","Device:C","RevK:C_0603","~","","","","",""
"","","C4","47pF","Device:C","RevK:C_0603","~","","","","",""
"","","C5","10nF","Device:C","RevK:C_0603","~","","","","",""
"","","C6","0.1uF","RevK:Hidden","RevK:Hidden","","","X7R or X5R 0603","","",""
"","","C7","2.2uF","RevK:Hidden","RevK:Hidden","","","0603 or 0805","","",""
"","","C8","10uF","RevK:Hidden","RevK:Hidden","","","0603 or 0805","","",""
"","","D1","RGB","Device:LED_ARGB","RevK:LED-RGB-1.6x1.6","~","Kingbright","","","","APTF1616LSEEZGKQBKC"
"","","D2","D","Device:D","Diode_SMD:D_1206_3216Metric","~","","","","",""
"","","D3","BAV99S","Diode:BAV99S","RevK:SOT-363_SC-70-6","https://assets.nexperia.com/documents/data-sheet/BAV99_SER.pdf","Nexperia","","","","BAV99S"
"","","D4","BAV99S","Diode:BAV99S","RevK:SOT-363_SC-70-6","https://assets.nexperia.com/documents/data-sheet/BAV99_SER.pdf","Nexperia","","","","BAV99S"
"","","D5","Schottky","RevK:Hidden","RevK:Hidden","https://www.mouser.co.uk/datasheet/2/54/CD1206-B220_B2100-777245.pdf","Bourns","","","","CD1206-B2100"
"","","J1","Connector","Connector:Conn_01x06_Male","RevK:Molex_MiniSPOX_H6RA","~","Molex","","Not fitted","","0022057065"
"","","J2","USB-C","Connector:USB_C_Receptacle_USB2.0","RevK:USC16-TR-Round","https://www.usb.org/sites/default/files/documents/usb_type-c.zip","Valcon","","","https://www.toby.co.uk/signal-to-board-connectors/usb-connectors/csp-usc16-tr-valcon-usb-type-c-surface-mount-pcb-socket/","CSP-USC16-TR"
"","","J3","DC","RevK:PowerIn","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","","","","Not fitted","",""
