"Source:","/Users/adrian/git/ESP32-Generic/KiCad/Generic0.kicad_sch"
"Date:","Monday, 04 April 2022 at 13:20:45"
"Tool:","Eeschema (6.0.2-0)"
"Generator:","/Applications/KiCad/KiCad.app/Contents/SharedSupport/plugins/bom_csv_grouped_by_value.py"
"Component Count:","9"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","MANUFACTURER","MAXIMUM_PACKAGE_HEIGHT","Manufacturer","PARTREV","Part No","STANDARD"
"","","C1","10nF","Device:C","RevK:C_0603","~","","","","","",""
"","","C2","100nF","Device:C","RevK:C_0603","~","","","","","",""
"","","D1","RGB","Device:LED_ARGB","RevK:LED-RGB-1.6x1.6","~","","","Kingbright","","APTF1616LSEEZGKQBKC",""
"","","J1","Shelly","RevK:Shelly","RevK:Shelly","","","","","","",""
"","","R1","680R","Device:R","RevK:R_0603","~","","","","","",""
"","","R2","2K","Device:R","RevK:R_0603","~","","","","","",""
"","","R3","220R","Device:R","RevK:R_0603","~","","","","","",""
"","","R4","10K","Device:R","RevK:Pad_0603_Bridged","~","","","","","",""
"","","U1","ESP32-PICO-MINI-02","RevK:ESP32-PICO-MINI-02","RevK:ESP32-PICO-MINI-02","","Espressif","2.55mm","","v1.0","","Manufacturer Recommendations"



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","MANUFACTURER","MAXIMUM_PACKAGE_HEIGHT","Manufacturer","PARTREV","Part No","STANDARD"
"1","1","C1","10nF","Device:C","RevK:C_0603","~","","","","","",""
"2","1","C2","100nF","Device:C","RevK:C_0603","~","","","","","",""
"3","1","D1","RGB","Device:LED_ARGB","RevK:LED-RGB-1.6x1.6","~","","","Kingbright","","APTF1616LSEEZGKQBKC",""
"4","1","J1","Shelly","RevK:Shelly","RevK:Shelly","","","","","","",""
"5","1","R1","680R","Device:R","RevK:R_0603","~","","","","","",""
"6","1","R2","2K","Device:R","RevK:R_0603","~","","","","","",""
"7","1","R3","220R","Device:R","RevK:R_0603","~","","","","","",""
"8","1","R4","10K","Device:R","RevK:Pad_0603_Bridged","~","","","","","",""
"9","1","U1","ESP32-PICO-MINI-02","RevK:ESP32-PICO-MINI-02","RevK:ESP32-PICO-MINI-02","","Espressif","2.55mm","","v1.0","","Manufacturer Recommendations"
