### Module positions - created on 2022-03-17 07:30
### Printed by pcb_positions plugin
## Unit = mm, Angle = deg.
## Pcb Height 29.100mm, Pcb Width 19.100mm [based on Edge bounding box]
## Side : top
## Board Aux Origin: 0.000mm ,0.000mm
# Ref         Val                 Package                       PosX       PosY       Pin1_PosX  Pin1_PosY    Rot     Side      Type
J2            USB-C               USC16-TR-Round                135.7750   -111.1000  0.0000     0.0000       90.0    top       SMD
R1            10K                 R_0603                        119.7300   -106.7000  120.5550   -106.7000   180.0    top       SMD
R10           330R                R_0603                        118.7300   -102.4000  117.9050   -102.4000     0.0    top       SMD
R19           18K                 R_0603                        123.1300   -105.7000  122.3050   -105.7000     0.0    top       SMD
R20           1k                  R_0603                        123.1300   -106.9000  123.9550   -106.9000   180.0    top       SMD
D2            D                   D_1206_3216Metric             125.6300   -107.4000  125.6300   -106.0000   -90.0    top       SMD
R15           10K                 R_0603                        124.3300   -101.4000  123.5050   -101.4000     0.0    top       SMD
R18           10K                 R_0603                        126.3300   -103.7000  126.3300   -102.8750   -90.0    top       SMD
U3            NX6020CAKS          SOT-363_SC-70-6               124.3300   -103.7000  123.3800   -103.0500     0.0    top       SMD
C2            100nF               C_0603                        119.1300   -115.3000  118.5820   -114.7520   -45.0    top       SMD
R12           5K1                 R_0603                        127.6300   -108.5000  127.6300   -107.6750   -90.0    top       SMD
D4            BAV99S              SOT-363_SC-70-6               123.7300   -117.8000  122.7800   -117.1500     0.0    top       SMD
D3            BAV99S              SOT-363_SC-70-6               127.9800   -117.8000  127.0300   -117.1500     0.0    top       SMD
R11           5K1                 R_0603                        127.6300   -114.4000  127.6300   -113.5750   -90.0    top       SMD
R13           27R                 R_0603                        126.4300   -114.4000  126.4300   -115.2250    90.0    top       SMD
R14           27R                 R_0603                        125.2300   -114.4000  125.2300   -113.5750   -90.0    top       SMD
R8            680R                R_0603                        118.7300   -101.2000  117.9050   -101.2000     0.0    top       SMD
R9            2K                  R_0603                        118.7300   -103.6000  117.9050   -103.6000     0.0    top       SMD
C5            10nF                C_0603                        123.2300   -109.3000  122.4550   -109.3000     0.0    top       SMD
C3            47pF                C_0603                        132.3300   -117.5750  132.3300   -116.8000   -90.0    top       SMD
C4            47pF                C_0603                        131.1300   -117.5750  131.1300   -116.8000   -90.0    top       SMD
C7            2.2uF               Hidden                        128.7400   -105.3000  0.0000     0.0000       90.0    top       SMD
C8            10uF                Hidden                        134.9900   -105.3000  0.0000     0.0000       90.0    top       SMD
D5            Schottky            Hidden                        131.8700   -104.9200  0.0000     0.0000        0.0    top       SMD
L1            6.8uH               Hidden                        133.4900   -101.7500  0.0000     0.0000        0.0    top       SMD
C6            0.1uF               Hidden                        127.4900   -102.0000  0.0000     0.0000      -90.0    top       SMD
R17           100k 1% or NF       R_0603                        123.9300   -99.6000   123.1050   -99.6000      0.0    top       SMD
U2            FT231XQ             QFN-20-1EP_4x4mm_P0.5mm_EP2.. 122.2300   -112.7000  121.2300   -114.6000    90.0    top       SMD
R16           330k 1% or 0R       R_0603                        126.6300   -99.6000   127.4550   -99.6000    180.0    top       SMD
U4            LMR16006+FB         RegulatorBlockFB              129.5900   -101.7500  128.6400   -103.1000     0.0    top       SMD
## End
