Designator,Footprint,Quantity,Value,LCSC Part #
C2,C_0603,1,100nF,
"C3, C4",C_0603,2,47pF,
C5,C_0603,1,10nF,
C6,C_0603_,1,100nF,C30926
C7,C_0805_,1,2.2uF,C19110
C8,C_0805_,1,10uF,C17024
D1,MHS190RGBCT,1,LED_BARG,C409798
D2,1206,1,D,
"D3, D4",SOT-363_SC-70-6,2,BAV99S,
D5,D_1206_,1,Schottky,C143805
J1,PTSM-HH-6-RA,1,Connector,
J2,USC16-TR,1,USB-C,
L1,L_4x4_,1,6.8uH,C354575
"R1, R16",R_0603,2,10k,
R10,R_0603,1,100R,
"R11, R12",R_0603,2,5K1,
"R13, R14",R_0603,2,27R,
R15,R_0603,1,4k7,
R17,R_0603,1,100k 1%,C14675
R18,R_0603,1,30k 1%,C100001
R8,R_0603,1,300R,
R9,R_0603,1,1K,
U1,ESP32-WROOM-32,1,ESP32-WROOM-32,
U2,QFN-20-1EP_4x4mm_P0.5mm_EP2.5x2.5mm,1,FT231XQ,
U3,SOT-23-Thin-6-Reg,1,LMR16006XDDCR,C87080
