Designator,Mid X,Mid Y,Rotation,Layer
C2,118.7,-106.6,0.0,top
C3,132.8,-117.5,270.0,top
C4,131.6,-117.5,270.0,top
C5,123.7,-109.3,0.0,top
C6,127.96,-102.0,270.0,top
C7,129.21,-105.3,90.0,top
C8,135.46,-105.3,90.0,top
D1,118.4,-99.805,0.0,top
D2,125.3,-107.6,180.0,top
D3,128.45,-117.8,0.0,top
D4,124.2,-117.8,0.0,top
D5,132.34,-104.92,0.0,top
J1,126.72,-120.3575,180.0,bottom
J2,131.8,-111.1,90.0,top
J3,134.0,-125.8,0.0,top
L1,133.96,-101.75,0.0,top
R1,118.7,-105.4,180.0,top
R10,119.2,-102.4,0.0,top
R11,128.08,-114.4,270.0,top
R12,128.1,-108.5,270.0,top
R13,126.9,-114.4,90.0,top
R14,125.7,-114.4,270.0,top
R15,121.8,-107.4,270.0,top
R16,120.6,-107.4,90.0,top
R17,127.1,-99.6,180.0,top
R18,124.4,-99.6,0.0,top
R8,119.2,-101.2,0.0,top
R9,119.2,-103.6,0.0,top
U1,126.7,-108.15,180.0,bottom
U2,122.7,-112.3,90.0,top
U3,130.06,-101.75,90.0,top
