Designator,Mid X,Mid Y,Rotation,Layer
C1,99.2,-47.2,180.0,bottom
C2,101.95,-41.85,-90.0,bottom
C3,100.7,-45.15,-90.0,bottom
C4,94.45,-45.15,-90.0,bottom
C5,94.7,-50.3,-90.0,bottom
D1,104.9,-41.6,0.0,bottom
D2,97.57,-44.77,0.0,bottom
J1,100.01,-54.09,180.0,bottom
J2,100.0,-51.44,0.0,top
J3,94.93,-56.52,90.0,top
L1,95.95,-41.6,0.0,bottom
R1,102.7,-44.7,-90.0,bottom
R2,104.55,-44.725,-90.0,bottom
R3,105.85,-44.7,-90.0,bottom
R4,96.4,-47.2,0.0,bottom
R5,105.0,-39.5,180.0,bottom
R6,102.525,-39.5,0.0,bottom
U1,100.0,-44.19325,0.0,top
U2,99.85,-41.6,180.0,bottom
