Designator,Mid X,Mid Y,Rotation,Layer
C1,22.8,37.76,180.0,top
C2,22.3,36.16,90.0,top
C3,22.84,54.4,180.0,top
C6,48.74,54.5,270.0,top
C7,43.74,54.5,270.0,top
C8,46.24,55.2,180.0,top
D1,50.34,58.0,90.0,top
D2,22.84,31.7,180.0,top
J1,47.26,46.0,90.0,top
J2,34.59,46.0,270.0,bottom
J3,48.19,38.4,0.0,top
L2,46.24,57.8,180.0,top
P1,39.6,51.08,0.0,top
P10,29.44,58.7,0.0,top
P11,24.36,56.16,0.0,top
P12,24.36,58.7,0.0,top
P13,42.14,51.08,0.0,top
P14,39.6,53.62,0.0,top
P15,42.14,46.0,0.0,top
P16,39.6,46.0,0.0,top
P17,42.14,40.92,0.0,top
P18,39.6,40.92,0.0,top
P19,42.14,43.46,0.0,top
P2,42.14,53.62,0.0,top
P20,39.6,43.46,0.0,top
P21,31.98,33.3,0.0,top
P22,31.98,35.84,0.0,top
P23,34.52,33.3,0.0,top
P24,34.52,35.84,0.0,top
P25,42.14,48.54,0.0,top
P26,37.06,33.36,0.0,top
P27,37.06,35.84,0.0,top
P28,42.14,38.38,0.0,top
P29,39.6,38.38,0.0,top
P3,37.06,56.16,0.0,top
P30,24.36,35.9,0.0,top
P31,26.9,33.36,0.0,top
P32,26.9,35.9,0.0,top
P33,29.44,33.3,0.0,top
P34,29.44,35.84,0.0,top
P35,39.6,48.54,0.0,top
P36,26.9,56.16,0.0,top
P37,26.9,58.7,0.0,top
P38,24.36,33.36,0.0,top
P39,42.14,35.84,0.0,top
P4,37.06,58.7,0.0,top
P40,42.14,33.3,0.0,top
P41,42.14,58.7,0.0,top
P42,42.14,56.16,0.0,top
P43,39.6,58.7,0.0,top
P44,39.6,56.16,0.0,top
P45,39.6,35.84,0.0,top
P46,39.6,33.3,0.0,top
P5,34.52,56.16,0.0,top
P6,34.52,58.7,0.0,top
P7,31.98,56.16,0.0,top
P8,31.98,58.7,0.0,top
P9,29.44,56.16,0.0,top
PCB1,35.0,35.0,0.0,top
R1,22.34,55.86,270.0,top
R10,43.74,52.4,90.0,top
R11,48.74,52.4,270.0,top
R2,45.34,40.3,180.0,top
R3,49.64,40.3,0.0,top
R4,22.34,33.6,270.0,top
R9,46.24,51.3,180.0,top
U2,29.44,46.0,90.0,top
U5,46.24,53.2,180.0,top
V1,35.0,61.0,0.0,bottom
V2,35.0,31.0,180.0,bottom
