Designator,Footprint,Quantity,Value,LCSC Part #
C2,C_0603_,1,100nF,C30926
C3,C_0805_,1,2.2uF,C19110
C4,C_0805_,1,10uF,C17024
D1,MHS190RGBCT,1,LED_BARG,C409798
D2,D_1206_,1,Schottky,C143805
J1,PTSM-HH-3-RA,1,Conn_01x03,
J2,USC16-TR,1,USB-C,C709357
L1,L_4x4_,1,6.8uH,C354575
Q1,SOT-323_SC-70,1,"PMF170XP,115",
Q2,SOT-323_SC-70,1,PMF250XNEX,
R1,R_0603,1,10k,
R10,R_0603,1,30k 1%,C100001
R2,R_0603,1,300R,
R3,R_0603,1,1K,
R4,R_0603,1,100R,
"R5, R6",R_0603,2,5K1,
R9,R_0603,1,100k 1%,C14675
U1,ESP32-PICO-MINI-02,1,ESP32-PICO-MINI-02,C2980306
U3,SOT-23-Thin-6-Reg,1,LMR16006XDDCR,C290195
