Designator,Mid X,Mid Y,Rotation,Layer
C2,100.85,-101.3,180.0,bottom
C3,97.55,-100.05,180.0,bottom
C4,97.55,-93.8,180.0,bottom
D1,103.895,-86.6,270.0,top
D2,97.93,-96.92,90.0,bottom
J1,100.0,-89.9,0.0,bottom
J2,100.0,-106.95,180.0,bottom
J3,100.0,-84.1,0.0,top
L1,101.1,-95.3,270.0,bottom
Q1,96.1,-87.1,90.0,top
Q2,98.7,-87.1,270.0,top
R1,104.4,-97.0,90.0,bottom
R10,104.4,-102.4,90.0,bottom
R2,102.0,-86.5,180.0,top
R3,102.0,-87.7,180.0,top
R4,102.0,-85.3,180.0,top
R5,102.4,-103.2,0.0,bottom
R6,97.6,-103.2,0.0,bottom
R9,104.4,-99.7,270.0,bottom
U1,100.0,-97.5,90.0,top
U3,101.1,-99.2,180.0,bottom
