Designator,Mid X,Mid Y,Rotation,Layer
C2,119.13,-115.3,-45.0,top
C3,132.33,-117.575,-90.0,top
C4,131.13,-117.575,-90.0,top
C5,123.23,-109.3,0.0,top
C6,127.49,-102.0,-90.0,top
C7,128.74,-105.3,90.0,top
C8,134.99,-105.3,90.0,top
D1,118.73,-99.7,0.0,top
D2,125.63,-107.4,-90.0,top
D3,127.98,-117.8,0.0,top
D4,123.73,-117.8,0.0,top
D5,131.87,-104.92,0.0,top
J1,126.25,-120.5,180.0,bottom
J2,135.775,-111.1,90.0,top
J3,133.53,-125.8,180.0,top
L1,133.49,-101.75,0.0,top
Q1,119.73,-108.4,-90.0,top
R1,119.73,-106.7,180.0,top
R10,118.73,-102.4,0.0,top
R11,127.63,-114.4,-90.0,top
R12,127.63,-108.5,-90.0,top
R13,126.43,-114.4,90.0,top
R14,125.23,-114.4,-90.0,top
R15,124.33,-101.4,0.0,top
R16,126.63,-99.6,180.0,top
R17,123.93,-99.6,0.0,top
R18,126.33,-103.7,-90.0,top
R19,123.13,-105.7,0.0,top
R20,123.13,-106.9,180.0,top
R8,118.73,-101.2,0.0,top
R9,118.73,-103.6,0.0,top
U1,126.23,-108.15,180.0,bottom
U2,122.23,-112.7,90.0,top
U3,124.33,-103.7,0.0,top
U4,129.59,-101.75,0.0,top
