Designator,Mid X,Mid Y,Rotation,Layer
C1,38.8,38.5,90,top
C2,38.8,40.5,270,top
C3,39.3,28.8,180,top
C6,44.1,36.2,270,top
C7,39.1,36.2,90,top
C8,41.6,36.9,180,top
D1,41.27,42.38,180,top
J1,56.0,35.7,90,top
J2,27.2,35.7,270,bottom
J3,35.15,35.7,270,bottom
L2,41.6,39.5,180,top
PCB1,35.0,35.0,0,top
R1,43.4,30.85,270,top
R10,39.8,33.0,180,top
R11,43.4,33.0,180,top
R9,41.6,33.0,180,top
SW1,24.9,35.7,270,bottom
U1,41.35,30.95,90,top
U2,30.6,35.7,90,top
U5,41.6,34.9,180,top
V1,35.0,43.4,0,bottom
V2,35.0,28.0,180,bottom
