Designator,Footprint,Quantity,Value,LCSC Part #
C4,C_0402,1,100nF,
C5,C_0402,1,1uF,
C6,C_0603_,1,10uF 50V,C1591
C7,C_0603_,1,10uF 6.3V,C1691
C8,C_0603_,1,100nF,
D2,LED-RGB-1.6x1.6,1,RGB,C264508
"H1, H2, H3, H4",MountingHole_2mm,4,MountingHole,
L2,L_4x4_,1,10uH,
R10,R_0402_,1,40k2,
R11,R_0402_,1,1M,
R4,R_0402,1,680R,
R5,R_0402,1,2K,
R6,R_0402,1,10k,
R7,R_0402,1,220R,
R9,R_0402_,1,124k,
U1,ESP32-PICO-MINI-02,1,ESP32-PICO-MINI-02,C2980306
U3,CH340X,1,CH340X,C3035748
U5,SOT-23-6-MD8942,1,MD8942,C2684786
