Designator,Mid X,Mid Y,Rotation,Layer
C4,121.6,-77.7,270.0,top
C5,120.2,-84.0,180.0,top
C6,127.0,-82.0,270.0,top
C7,122.0,-82.0,270.0,top
C8,124.5,-81.3,180.0,top
D1,116.075,-78.35,90.0,top
J1,121.5,-100.0,0.0,top
L2,124.5,-78.7,180.0,top
R1,117.4,-78.3,0.0,top
R10,122.2,-84.1,90.0,top
R11,126.8,-84.1,270.0,top
R2,117.4,-77.4,0.0,top
R3,117.4,-79.2,0.0,top
R6,118.4,-84.0,0.0,top
R9,124.5,-85.2,180.0,top
U1,121.5,-81.8,0.0,bottom
U3,120.1,-86.5,90.0,top
U5,124.5,-83.3,180.0,top
